"Perioden";"Wijken en buurten";"Particuliere huishoudens (Aantal)";"SES-WOA/Totaalscore/Gemiddelde score (Getal)";"Spreiding/Spreiding totaal/Waarde (Getal)"
"2019";"Amsterdam";"  457400";"  -0.100";"   1.010"
"2019";"Jordaan";"   12700";"   0.004";"   0.928"
"2019";"Driehoekbuurt";"    1800";"  -0.017";"   0.951"
"2019";"Bloemgrachtbuurt";"    1800";"   0.121";"   0.881"
"2019";"Marnixbuurt Noord";"     900";"  -0.153";"   0.982"
"2019";"Zaagpoortbuurt";"     700";"  -0.234";"   0.955"
"2019";"Marnixbuurt Midden";"     100";"   0.280";"   0.730"
"2019";"Elandsgrachtbuurt";"    2800";"   0.020";"   0.909"
"2019";"Passeerdersgrachtbuurt";"     600";"   0.045";"   0.934"
"2019";"Groenmarktkadebuurt";"     200";"   0.141";"   0.817"
"2019";"Marnixbuurt Zuid";"     500";"   0.000";"   0.843"
"2019";"Anjeliersbuurt Noord";"    1300";"   0.064";"   0.906"
"2019";"Anjeliersbuurt Zuid";"    1900";"  -0.027";"   0.950"
